Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
King_Salmon_L_Taku,1.483333349,8.600000381,26.54320908,871.7467651,18.20000076,-14.19999981,32.40000153,1.76666677,6.466666698,12.05000019,-9.350000381,1010,142,46,33.71178818,357,158,225,266,1970-2000,NA
Klukshu_Lake,2.900000095,10.60000038,27.10000038,986.4000244,22.20000076,-16.79999924,39,-4.099999905,1.899999976,15.10000038,-9.100000381,524,63,16,36.79999924,171,59,156,141,2041-2060,26
Klukshu_Lake,4.5,10.39999962,27.60000038,962.0999756,24.20000076,-13.5,37.70000076,-2.200000048,2.900000095,16.79999924,-6.900000095,536,63,17,36.09999847,177,61,156,144,2041-2060,85
Klukshu_Lake,-1.120833397,11.25833321,28.72023773,1006.972168,18.10000038,-21.10000038,39.20000076,-7.150000095,-1.283333302,11,-13.51666641,455,56,15,35.44410324,148,53,131,128,1970-2000,NA
Koeye_R,11.69999981,5.400000095,30.10000038,470.8999939,21.89999962,3.799999952,18.10000038,8.800000191,17.60000038,17.60000038,6.199999809,3323,532,99,50.40000153,1404,379,474,1000,2041-2060,26
Koeye_R,12.69999981,5.5,29.29999924,488.7999878,23.60000038,4.900000095,18.70000076,9.800000191,19.10000038,19,7.199999809,3379,531,87,51.29999924,1429,350,479,997,2041-2060,85
Koeye_R,8.408332825,5.416666508,32.43513107,428.8771362,17.79999924,1.100000024,16.69999886,6.116666794,13.69999981,13.86666679,3.5,3177,449,113,42.40889359,1232,413,492,1003,1970-2000,NA
Kuthai_L,4.199999809,8.100000381,23.29999924,927,21.89999962,-12.89999962,34.79999924,6.199999809,3.200000048,15.60000038,-7.400000095,723,97,26,32.70000076,250,105,187,181,2041-2060,26
Kuthai_L,5.800000191,8,23.60000038,908.0999756,24,-9.699999809,33.70000076,7,4.099999905,17.29999924,-5.300000191,742,101,29,32.79999924,260,110,187,185,2041-2060,85
Kuthai_L,0.308333337,8.650000572,25.07246399,930.7006836,17.79999924,-16.70000076,34.5,6.866666794,0.333333254,11.46666718,-11.38333321,640,80,25,31.12882233,216,94,164,169,1970-2000,NA
Kutlaku_L,9.600000381,5.699999809,28,536.7999878,20.5,0,20.5,10.19999981,14.89999962,16.29999924,3.400000095,4870,840,169,48.20000076,1981,610,621,1353,2041-2060,26
Kutlaku_L,10.69999981,5.699999809,28.5,533.0999756,21.70000076,1.700000048,20,11.10000038,15.89999962,17.39999962,4.599999905,5008,884,166,49.40000153,2077,610,631,1342,2041-2060,85
Kutlaku_L,6.291666508,5.883333206,29.86463737,516.78125,16.79999924,-2.900000095,19.69999886,6.816666603,11.08333397,12.75,0.283333302,4477,696,187,40.58569717,1683,625,650,1284,1970-2000,NA
Thumb,7,5.699999809,26.70000076,559,18.5,-2.900000095,21.39999962,7.599999905,15.19999981,14.5,1.299999952,1492,171,77,21.29999924,462,282,346,374,2041-2060,26
